=== probe armed: 14/14 hooks. Do your actions now; each firing logs here. ===
101.315  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC6ED1C5F8 a2=UObject: 000001BC6ED1C6F8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
102.569  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCEEEBA7F8 a2=UObject: 000001BCEEEBA9F8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
103.260  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCC0883278 a2=UObject: 000001BCC0883E78 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
103.283  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCC0884278 a2=UObject: 000001BCC0882578 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
103.385  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCC0882F78 a2=UObject: 000001BCC0883578 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
104.107  [BUILD.damage]  /Script/Pal.PalBuildObject:OnDamage | self=BP_BuildObject_WorkBench_C  a1=UObject: 000001BCC0882E78 a2=UScriptStruct: 000001BC6EDE7248 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
104.589  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCEEFD4448 a2=UObject: 000001BCEEFD3E48 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
104.589  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCEEFD4848 a2=UObject: 000001BCEEFD3448 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
104.590  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCEEFD3648 a2=UObject: 000001BCEEFD3848 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
104.590  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BCEEFD4F48 a2=UObject: 000001BC8C5059D8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
104.623  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC8C5057D8 a2=UObject: 000001BC8C5068D8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
105.243  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC8C5067D8 a2=UObject: 000001BC8C5050D8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147469319
105.244  [BUILD.interact]  /Script/Pal.PalBuildObject:OnBeginInteractBuilding | self=BP_BuildObject_WorkBench_C  a1=AActor: 000001BC8C505BD8 a2=UObject: 000001BC8C505DD8 a3= | BP_BuildObject_WorkBench_C /Game/Pal/Maps/MainWorld_5/PL_MainWorld5.PL_MainWorld5:PersistentLevel.BP_BuildObject_WorkBench_C_2147459990
